"...1","country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region","AreaName","Value","Count","Denominator","Time period","Age","Sex","Area Type","area_type"
18,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2018,NA,NA,15.594,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
19,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2018,NA,NA,15.594,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
20,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2018,NA,NA,15.594,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
21,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2019,NA,NA,16.557,NA,NA,86,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
22,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2019,NA,NA,16.557,NA,NA,86,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
23,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2019,NA,NA,16.557,NA,NA,86,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
24,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2020,NA,NA,11.863,NA,NA,97,"Urban",248071,53.56292,-1.510436,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
25,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2020,NA,NA,11.863,NA,NA,97,"Urban",248071,53.56292,-1.510436,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
26,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2020,NA,NA,11.863,NA,NA,97,"Urban",248071,53.56292,-1.510436,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
27,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2010,20.481,14.623,44.065,NA,99,99,NA,997130,52.51172125,-1.8305795,1,"Birmingham","West Midlands","Birmingham",214.5796,655,305248,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
28,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2010,20.481,14.623,44.065,NA,99,99,NA,997130,52.51172125,-1.8305795,1,"Birmingham","West Midlands","Birmingham",241.3749,375,155360,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
29,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2010,20.481,14.623,44.065,NA,99,99,NA,997130,52.51172125,-1.8305795,1,"Birmingham","West Midlands","Birmingham",186.8061,280,149888,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
30,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2013,18.54,14.269,36.723,NA,NA,95,NA,997130,52.49325975,-1.83054125,1,"Birmingham","West Midlands","Birmingham",214.5796,655,305248,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
31,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2013,18.54,14.269,36.723,NA,NA,95,NA,997130,52.49325975,-1.83054125,1,"Birmingham","West Midlands","Birmingham",241.3749,375,155360,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
32,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2013,18.54,14.269,36.723,NA,NA,95,NA,997130,52.49325975,-1.83054125,1,"Birmingham","West Midlands","Birmingham",186.8061,280,149888,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
33,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2020,12.763,7.765,19.683,99,99,79,"Urban, Urban, Urban",1140525,52.464867,-1.874419333,1,"Birmingham","West Midlands","Birmingham",214.5796,655,305248,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
34,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2020,12.763,7.765,19.683,99,99,79,"Urban, Urban, Urban",1140525,52.464867,-1.874419333,1,"Birmingham","West Midlands","Birmingham",241.3749,375,155360,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
35,"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2020,12.763,7.765,19.683,99,99,79,"Urban, Urban, Urban",1140525,52.464867,-1.874419333,1,"Birmingham","West Midlands","Birmingham",186.8061,280,149888,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
36,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2010,20.331,14.211,47.568,NA,96,85,NA,686210,51.46113675,-2.58424125,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
37,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2010,20.331,14.211,47.568,NA,96,85,NA,686210,51.46113675,-2.58424125,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
38,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2010,20.331,14.211,47.568,NA,96,85,NA,686210,51.46113675,-2.58424125,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
39,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2020,18.484,9.66,21.78,96,94,98,"Urban, Urban",686210,51.4604035,-2.5842285,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
40,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2020,18.484,9.66,21.78,96,94,98,"Urban, Urban",686210,51.4604035,-2.5842285,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
41,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2020,18.484,9.66,21.78,96,94,98,"Urban, Urban",686210,51.4604035,-2.5842285,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
42,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2014,16.865,13.147,28.172,93,58,94,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
43,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2014,16.865,13.147,28.172,93,58,94,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
44,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2014,16.865,13.147,28.172,93,58,94,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
45,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2015,14.91,10.247,26.271,91,94,93,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
46,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2015,14.91,10.247,26.271,91,94,93,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
47,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2015,14.91,10.247,26.271,91,94,93,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
48,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2016,15.418,11.661,27.368,95,86,99,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
49,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2016,15.418,11.661,27.368,95,86,99,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
50,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2016,15.418,11.661,27.368,95,86,99,"Urban",686210,51.4628,-2.5845,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
51,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2017,18.197,9.653,30.76,55,89,87,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
52,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2017,18.197,9.653,30.76,55,89,87,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
53,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2017,18.197,9.653,30.76,55,89,87,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
54,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2018,19.264,12.038,34.063,87,80,91,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
55,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2018,19.264,12.038,34.063,87,80,91,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
56,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2018,19.264,12.038,34.063,87,80,91,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
57,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2019,18.444,10.759,31.301,90,85,92,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
58,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2019,18.444,10.759,31.301,90,85,92,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
59,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2019,18.444,10.759,31.301,90,85,92,"Urban, Urban",686210,51.4604,-2.58425,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
60,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2013,17.701,12.809,27.975,96,97,99,"Urban",686210,51.46282925,-2.5844865,1,"Bristol","South West","Bristol",103.0078,100,97080,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
61,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2013,17.701,12.809,27.975,96,97,99,"Urban",686210,51.46282925,-2.5844865,1,"Bristol","South West","Bristol",107.0893,55,51359,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
62,"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2013,17.701,12.809,27.975,96,97,99,"Urban",686210,51.46282925,-2.5844865,1,"Bristol","South West","Bristol",98.423,45,45721,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
63,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2010,NA,12.277,21.242,NA,99,96,NA,359262,52.394399,-1.519612,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
64,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2010,NA,12.277,21.242,NA,99,96,NA,359262,52.394399,-1.519612,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
65,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2010,NA,12.277,21.242,NA,99,96,NA,359262,52.394399,-1.519612,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
66,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2013,NA,12.676,20.481,NA,58,84,"Urban",361364,52.3943995,-1.519606,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
67,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2013,NA,12.676,20.481,NA,58,84,"Urban",361364,52.3943995,-1.519606,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
68,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2013,NA,12.676,20.481,NA,58,84,"Urban",361364,52.3943995,-1.519606,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
69,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2020,14.292,7.272,19.163,98,100,98,"Urban, Urban",379387,52.4096355,-1.525155,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
70,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2020,14.292,7.272,19.163,98,100,98,"Urban, Urban",379387,52.4096355,-1.525155,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
71,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2020,14.292,7.272,19.163,98,100,98,"Urban, Urban",379387,52.4096355,-1.525155,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
72,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2014,NA,12.068,21.043,NA,44,45,"Urban, Urban",363467,52.403,-1.5399,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
73,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2014,NA,12.068,21.043,NA,44,45,"Urban, Urban",363467,52.403,-1.5399,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
74,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2014,NA,12.068,21.043,NA,44,45,"Urban, Urban",363467,52.403,-1.5399,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
75,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2015,NA,10.94,22.792,NA,93,99,"Urban",363467,52.4116,-1.5602,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
76,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2015,NA,10.94,22.792,NA,93,99,"Urban",363467,52.4116,-1.5602,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
77,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2015,NA,10.94,22.792,NA,93,99,"Urban",363467,52.4116,-1.5602,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
78,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2016,NA,10.375,22.559,NA,97,99,"Urban",363467,52.4116,-1.5602,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
79,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2016,NA,10.375,22.559,NA,97,99,"Urban",363467,52.4116,-1.5602,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
80,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2016,NA,10.375,22.559,NA,97,99,"Urban",363467,52.4116,-1.5602,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
81,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2017,15.313,11.381,26.651,73,96,86,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
82,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2017,15.313,11.381,26.651,73,96,86,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
83,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2017,15.313,11.381,26.651,73,96,86,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
84,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2018,19.394,10.635,24.923,94,94,98,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
85,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2018,19.394,10.635,24.923,94,94,98,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
86,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2018,19.394,10.635,24.923,94,94,98,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
87,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2019,15.292,9.083,25.687,79,94,99,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",131.2524,110,83808,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
88,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2019,15.292,9.083,25.687,79,94,99,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",161.2532,70,43410,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
89,"United Kingdom of Great Britain and Northern Ireland","Coventry/GBR",2019,15.292,9.083,25.687,79,94,99,"Urban, Urban",363467,52.40965,-1.52515,1,"Coventry","West Midlands","Coventry",99.0148,40,40398,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
90,"United Kingdom of Great Britain and Northern Ireland","Leeds/GBR",2010,20.969,16.756,43.765,NA,92,94,NA,745722,53.8102568,-1.5584276,1,"Leeds","Yorkshire and The Humber","Leeds",51.939,95,182907,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
91,"United Kingdom of Great Britain and Northern Ireland","Leeds/GBR",2010,20.969,16.756,43.765,NA,92,94,NA,745722,53.8102568,-1.5584276,1,"Leeds","Yorkshire and The Humber","Leeds",62.7431,60,95628,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
